Substantive,Attitudinal,Corrected Item-Total Definition
Absorption,Cognitive,I am able to concentrate on my work without getting distracted
Absorption,Cognitive,I find it difficult to mentally disconnect from work
Absorption,Cognitive,Time passes quickly while I'm working
Absorption,Affective,I enjoy thinking about work even when I'm not at work
Absorption,Affective,I love starting my workday
Absorption,Behavioral,I have to be reminded to take breaks while I'm at work
Absorption,Behavioral,I never miss a work deadline
Vigor,Cognitive,Thinking about work saps my energy
Vigor,Cognitive,I'm able to maintain good levels of energy throughout the workday
Vigor,Affective,I enjoy spending time completing my job tasks
Vigor,Affective,I feel motivated to go beyond what is asked of me at work
Vigor,Behavioral,When work is slow I find ways to be productive
Vigor,Behavioral,I express enthusiasm for my job while at work
Dedication,Cognitive,I believe this company cares about my career goals
Dedication,Cognitive,I plan to stay with this company as my career advances
Dedication,Cognitive,This organization challenges me to work at my full potential
Dedication,Affective,I feel proud of my accomplishments within this organization
Dedication,Affective,My job makes me feel like I'm part of something meaningful
Dedication,Behavioral,I embrace challenging situations at work
Dedication,Behavioral,I speak positively about this organization to others
